You did not select any stats, using -cdngy by default.
[7l--total-cpu-usage-- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai stl| read  writ| recv  send|  in   out | int   csw 
 98   2   0   0   0| 712k    0 | 600B    0 |   0     0 |  68k  285 
 98   1   1   0   0| 936k    0 | 540B    0 |   0     0 |  59k 1392 
 97   1   1   0   0| 552k    0 | 540B    0 |   0     0 |  50k 2178 
 98   1   1   0   0| 632k   12k| 600B    0 |   0     0 |  67k 1476 
 97   1   1   0   0| 448k    0 | 600B    0 |   0     0 |  39k 1080 
 98   1   1   0   0| 636k    0 | 600B    0 |   0     0 |  32k  854 
 97   1   2   0   0| 396k    0 | 540B  153B|   0     0 |  30k  953 
 96   1   2   0   0| 672k    0 | 540B    0 |   0     0 |  45k  712 
 98   1   0   0   0| 284k    0 | 600B    0 |   0     0 |  57k 1014 
 97   1   1   0   0| 412k   36k| 540B    0 |   0     0 |  52k 1614 
 98   1   1   0   0| 752k    0 | 600B    0 |   0     0 |  27k  907 
 97   2   1   0   0| 616k    0 | 600B   66B|   0     0 |  39k 1091 
 97   2   2   0   0|1492k    0 | 540B    0 |   0     0 |  62k 1609 
 98   2   0   0   0| 204k    0 | 540B    0 |   0     0 |  96k  503 
 97   3   0   0   0| 320k    0 | 600B    0 |   0     0 | 560k 1130 
 96   2   2   0   0| 408k   24k| 600B    0 |   0     0 | 383k  464 
 97   1   1   0   0| 272k    0 | 600B   42B|   0     0 |  91k 1087 
 98   1   1   0   0|1172k    0 | 480B    0 |   0     0 |  72k 1146 
 98   1   1   0   0| 236k    0 | 600B    0 |   0     0 |  76k 1004 
 97   2   1   0   0| 764k   36k| 600B    0 |   0     0 | 250k 1124 
 97   2   1   0   0| 608k    0 | 600B    0 |   0     0 | 234k  809 
 77   1  22   0   0| 388k   36k| 540B 1572B|   0     0 |  56k 2427 
  0   0 100   0   0|   0     0 |1450B   12k|   0     0 |  81    57 
  0   0 100   0   0|   0     0 | 600B    0 |   0     0 | 132    90 
  0   0 100   0   0|   0     0 | 600B    0 |   0     0 |  18    12 
